t,h,dx,dy,X,Y,FPS
0.0000,74.00,0.00,0.00,0.00,0.00,0
0.0176,74.00,0.00,0.00,0.00,0.00,5
0.0342,74.00,0.00,0.00,0.00,0.00,11
0.0903,74.00,0.00,0.00,0.00,0.00,11
0.1065,74.00,0.00,0.00,0.00,0.00,16
0.1221,74.00,0.00,0.00,0.00,0.00,21
0.1530,74.00,0.00,0.00,0.00,0.00,22
0.1699,74.00,0.00,0.00,0.00,0.00,26
0.2055,74.00,0.00,0.00,0.00,0.00,26
0.2206,74.00,0.00,0.00,0.00,0.00,30
0.2582,74.00,0.00,0.00,0.00,0.00,30
0.2734,74.00,0.00,0.00,0.00,0.00,33
0.3036,74.00,0.00,0.00,0.00,0.00,33
0.3190,74.00,0.00,0.00,0.00,0.00,36
0.3639,74.00,0.00,0.00,0.00,0.00,35
0.3803,74.00,0.00,0.00,0.00,0.00,37
0.4108,74.00,0.00,0.00,0.00,0.00,37
0.4279,74.00,0.00,0.00,0.00,0.00,39
0.4589,74.00,0.00,0.00,0.00,0.00,38
0.4762,74.00,0.00,0.00,0.00,0.00,40
0.5223,74.00,0.00,0.00,0.00,0.00,38
0.5389,74.00,0.00,0.00,0.00,0.00,40
0.5698,74.00,0.00,0.00,0.00,0.00,40
0.5854,74.00,0.00,0.00,0.00,0.00,42
0.6182,74.00,0.00,0.00,0.00,0.00,41
0.6382,74.00,0.00,0.00,0.00,0.00,42
0.6697,74.00,0.00,0.00,0.00,0.00,41
0.6869,74.00,0.00,0.00,0.00,0.00,42
0.7179,74.00,0.00,0.00,0.00,0.00,41
0.7489,74.00,0.00,0.00,0.00,0.00,40
0.7824,74.00,0.00,0.00,0.00,0.00,39
0.7991,74.00,0.00,0.00,0.00,0.00,41
0.8316,74.00,0.00,0.00,0.00,0.00,40
0.8492,74.00,0.00,0.00,0.00,0.00,42
0.9250,74.00,0.00,0.00,0.00,0.00,39
0.9424,74.00,0.00,0.00,0.00,0.00,41
0.9578,74.00,0.00,0.00,0.00,0.00,43
1.0584,74.00,0.00,0.00,0.00,0.00,40
1.0757,74.00,0.00,0.00,0.00,0.00,41
1.0928,74.00,0.00,0.00,0.00,0.00,43
1.1234,74.00,0.00,0.00,0.00,0.00,42
1.1391,74.00,0.00,0.00,0.00,0.00,44
1.1699,74.00,0.00,0.00,0.00,0.00,43
1.1861,74.00,0.00,0.00,0.00,0.00,45
1.2198,74.00,0.00,0.00,0.00,0.00,43
1.2360,74.00,0.00,0.00,0.00,0.00,45
1.2674,74.00,0.00,0.00,0.00,0.00,44
1.2984,74.00,0.00,0.00,0.00,0.00,42
1.3274,74.00,0.00,0.00,0.00,0.00,42
1.3439,74.00,0.00,0.00,0.00,0.00,43
1.3748,74.00,0.00,0.00,0.00,0.00,42
1.4069,74.00,0.00,0.00,0.00,0.00,41
1.4217,74.00,0.00,0.00,0.00,0.00,44
1.4529,74.00,0.00,0.00,0.00,0.00,42
1.4834,74.00,0.00,0.00,0.00,0.00,41
1.4987,74.00,0.00,0.00,0.00,0.00,44
1.5283,74.00,0.00,0.00,0.00,0.00,43
1.5615,74.00,0.00,0.00,0.00,0.00,41
1.5767,74.00,0.00,0.00,0.00,0.00,44
1.6076,74.00,0.00,0.00,0.00,0.00,43
1.6381,74.00,0.00,0.00,0.00,0.00,42
1.6537,74.00,0.00,0.00,0.00,0.00,44
1.6835,74.00,0.00,0.00,0.00,0.00,43
1.7157,74.00,0.00,0.00,0.00,0.00,42
1.7315,74.00,0.00,0.00,0.00,0.00,44
1.7609,74.00,0.00,0.00,0.00,0.00,43
1.7902,74.00,0.00,0.00,0.00,0.00,42
1.8088,74.00,0.00,0.00,0.00,0.00,43
1.8385,74.00,0.00,0.00,0.00,0.00,42
1.8685,74.00,0.00,0.00,0.00,0.00,41
1.8840,74.00,0.00,0.00,0.00,0.00,43
1.9173,74.00,0.00,0.00,0.00,0.00,42
1.9331,74.00,0.00,0.00,0.00,0.00,44
1.9634,74.00,0.00,0.00,0.00,0.00,43
1.9971,74.00,0.00,0.00,0.00,0.00,41
2.0136,74.00,0.00,0.00,0.00,0.00,43
2.0441,74.00,0.00,0.00,0.00,0.00,42
2.0758,74.00,0.00,0.00,0.00,0.00,41
2.0909,74.00,0.00,0.00,0.00,0.00,44
2.1213,74.00,0.00,0.00,0.00,0.00,42
2.1377,74.00,0.00,0.00,0.00,0.00,44
2.1681,74.00,0.00,0.00,0.00,0.00,43
2.1979,74.00,0.00,0.00,0.00,0.00,42
2.2293,74.00,0.00,0.00,0.00,0.00,41
2.2449,74.00,0.00,0.00,0.00,0.00,43
2.2753,74.00,0.00,0.00,0.00,0.00,42
2.3074,74.00,0.00,0.00,0.00,0.00,41
2.3239,74.00,0.00,0.00,0.00,0.00,43
2.3567,74.00,0.00,0.00,0.00,0.00,42
2.3844,74.00,0.00,0.00,0.00,0.00,41
2.4030,74.00,0.00,0.00,0.00,0.00,42
2.4331,74.00,0.00,0.00,0.00,0.00,41
2.4750,74.00,0.00,0.00,0.00,0.00,39
2.4918,74.00,0.00,0.00,0.00,0.00,41
2.5074,74.00,0.00,0.00,0.00,0.00,44
2.5396,74.00,0.00,0.00,0.00,0.00,42
2.5562,74.00,0.00,0.00,0.00,0.00,44
2.5867,74.00,0.00,0.00,0.00,0.00,43
2.6253,74.00,0.00,0.00,0.00,0.00,41
2.6409,74.00,0.00,0.00,0.00,0.00,43
2.6562,74.00,0.00,0.00,0.00,0.00,46
2.6865,74.00,0.00,0.00,0.00,0.00,44
2.7176,74.00,0.00,0.00,0.00,0.00,43
2.7334,74.00,0.00,0.00,0.00,0.00,45
2.7625,74.00,0.00,0.00,0.00,0.00,44
2.7930,74.00,0.00,0.00,0.00,0.00,43
2.8094,74.00,0.00,0.00,0.00,0.00,45
2.8397,74.00,0.00,0.00,0.00,0.00,43
2.8713,74.00,0.00,0.00,0.00,0.00,42
2.8873,74.00,0.00,0.00,0.00,0.00,44
2.9189,74.00,0.00,0.00,0.00,0.00,43
2.9497,74.00,0.00,0.00,0.00,0.00,42
2.9661,74.00,0.00,0.00,0.00,0.00,44
2.9955,74.00,0.00,0.00,0.00,0.00,43
3.0268,74.00,0.00,0.00,0.00,0.00,41
3.0417,74.00,0.00,0.00,0.00,0.00,44
3.0714,74.00,0.00,0.00,0.00,0.00,43
3.1025,74.00,0.00,0.00,0.00,0.00,42
3.1180,74.00,0.00,0.00,0.00,0.00,44
3.1475,74.00,0.00,0.00,0.00,0.00,43
3.1768,74.00,0.00,0.00,0.00,0.00,42
3.2080,74.00,0.00,0.00,0.00,0.00,41
3.2236,74.00,0.00,0.00,0.00,0.00,43
3.2535,74.00,0.00,0.00,0.00,0.00,42
3.2833,74.00,0.00,0.00,0.00,0.00,41
3.2993,74.00,0.00,0.00,0.00,0.00,43
3.3291,74.00,0.00,0.00,0.00,0.00,42
3.3584,74.00,0.00,0.00,0.00,0.00,41
3.3737,74.00,0.00,0.00,0.00,0.00,44
3.4037,74.00,0.00,0.00,0.00,0.00,43
3.4347,74.00,0.00,0.00,0.00,0.00,42
3.4652,74.00,0.00,0.00,0.00,0.00,41
3.4803,74.00,0.00,0.00,0.00,0.00,43
3.5105,74.00,0.00,0.00,0.00,0.00,42
3.5527,74.00,0.00,0.00,0.00,0.00,40
3.5684,74.00,0.00,0.00,0.00,0.00,43
