t,h,dx,dy,X,Y,FPS
0.0000,77.00,0.00,0.00,0.00,0.00,0
0.0476,77.00,0.00,0.00,0.00,0.00,0
0.1194,77.00,0.00,0.00,0.00,0.00,0
0.1617,77.00,0.00,0.00,0.00,0.00,0
0.2124,77.00,0.00,0.00,0.00,0.00,0
0.2871,77.00,0.00,0.00,0.00,0.00,0
0.3369,77.00,0.00,0.00,0.00,0.00,1
0.3794,77.00,0.00,0.00,0.00,0.00,1
0.4255,77.00,0.00,0.00,0.00,0.00,1
0.4442,77.00,0.00,0.00,0.00,0.00,2
0.4833,77.00,0.00,0.00,0.00,0.00,2
0.4993,77.00,0.00,0.00,0.00,0.00,2
0.5332,77.00,0.00,0.00,0.00,0.00,3
0.5606,77.00,0.00,0.00,0.00,0.00,3
0.5910,77.00,0.00,0.00,0.00,0.00,3
0.6263,77.00,0.00,0.00,0.00,0.00,4
0.6552,77.00,0.00,0.00,0.00,0.00,4
0.6891,77.00,0.00,0.00,0.00,0.00,4
0.7038,77.00,0.00,0.00,0.00,0.00,5
0.7569,77.00,0.00,0.00,0.00,0.00,5
0.7652,77.00,0.00,0.00,0.00,0.00,6
0.7823,77.00,0.00,0.00,0.00,0.00,7
0.8225,77.00,0.00,0.00,0.00,0.00,7
0.8383,77.00,0.00,0.00,0.00,0.00,7
0.8590,77.00,0.00,0.00,0.00,0.00,8
0.8994,77.00,0.00,0.00,0.00,0.00,8
0.9152,77.00,0.00,0.00,0.00,0.00,8
0.9324,77.00,0.00,0.00,0.00,0.00,9
0.9776,77.00,0.00,0.00,0.00,0.00,9
0.9921,77.00,0.00,0.00,0.00,0.00,10
1.0045,77.00,0.00,0.00,0.00,0.00,10
1.0526,77.00,0.00,0.00,0.00,0.00,10
1.0657,77.00,0.00,0.00,0.00,0.00,11
1.0837,77.00,0.00,0.00,0.00,0.00,11
1.1326,77.00,0.00,0.00,0.00,0.00,12
1.1447,77.00,0.00,0.00,0.00,0.00,12
1.1662,77.00,0.00,0.00,0.00,0.00,13
1.1936,77.00,0.00,0.00,0.00,0.00,13
1.2210,77.00,0.00,0.00,0.00,0.00,13
1.2397,77.00,0.00,0.00,0.00,0.00,13
1.2723,77.00,0.00,0.00,0.00,0.00,14
1.2980,77.00,0.00,0.00,0.00,0.00,14
1.3205,77.00,0.00,0.00,0.00,0.00,14
1.3506,77.00,0.00,0.00,0.00,0.00,14
1.3762,77.00,0.00,0.00,0.00,0.00,15
1.3925,77.00,0.00,0.00,0.00,0.00,15
1.4236,77.00,0.00,0.00,0.00,0.00,15
1.4534,77.00,0.00,0.00,0.00,0.00,15
1.4748,77.00,0.00,0.00,0.00,0.00,16
1.5039,77.00,0.00,0.00,0.00,0.00,16
1.5286,77.00,0.00,0.00,0.00,0.00,16
1.5528,77.00,0.00,0.00,0.00,0.00,16
1.5631,77.00,0.00,0.00,0.00,0.00,17
1.6063,77.00,0.00,0.00,0.00,0.00,17
1.6202,77.00,0.00,0.00,0.00,0.00,18
1.6430,77.00,0.00,0.00,0.00,0.00,18
1.6710,77.00,0.00,0.00,0.00,0.00,18
1.6967,77.00,0.00,0.00,0.00,0.00,18
1.7148,77.00,0.00,0.00,0.00,0.00,19
1.7496,77.00,0.00,0.00,0.00,0.00,19
1.7790,77.00,0.00,0.00,0.00,0.00,19
1.7901,77.00,0.00,0.00,0.00,0.00,20
1.8100,77.00,0.00,0.00,0.00,0.00,20
1.8548,77.00,0.00,0.00,0.00,0.00,20
1.8674,77.00,0.00,0.00,0.00,0.00,21
1.8889,77.00,0.00,0.00,0.00,0.00,21
1.9031,77.00,0.00,0.00,0.00,0.00,21
1.9438,77.00,0.00,0.00,0.00,0.00,21
1.9590,77.00,0.00,0.00,0.00,0.00,22
1.9746,77.00,0.00,0.00,0.00,0.00,22
2.0224,77.00,0.00,0.00,0.00,0.00,22
2.0353,77.00,0.00,0.00,0.00,0.00,23
2.0527,77.00,0.00,0.00,0.00,0.00,23
2.0710,77.00,0.00,0.00,0.00,0.00,23
2.1174,77.00,0.00,0.00,0.00,0.00,23
2.1280,77.00,0.00,0.00,0.00,0.00,24
2.1452,77.00,0.00,0.00,0.00,0.00,24
2.1604,77.00,0.00,0.00,0.00,0.00,25
2.2093,77.00,0.00,0.00,0.00,0.00,25
2.2205,77.00,0.00,0.00,0.00,0.00,25
2.2405,77.00,0.00,0.00,0.00,0.00,26
2.2559,77.00,0.00,0.00,0.00,0.00,26
2.3005,77.00,0.00,0.00,0.00,0.00,26
2.3114,77.00,0.00,0.00,0.00,0.00,27
2.3291,77.00,0.00,0.00,0.00,0.00,27
2.3440,77.00,0.00,0.00,0.00,0.00,27
2.3667,77.00,0.00,0.00,0.00,0.00,28
2.4044,77.00,0.00,0.00,0.00,0.00,28
2.4233,77.00,0.00,0.00,0.00,0.00,28
2.4364,77.00,0.00,0.00,0.00,0.00,28
2.4529,77.00,0.00,0.00,0.00,0.00,29
2.4970,77.00,0.00,0.00,0.00,0.00,29
2.5164,77.00,0.00,0.00,0.00,0.00,29
2.5273,77.00,0.00,0.00,0.00,0.00,29
2.5469,77.00,0.00,0.00,0.00,0.00,30
2.5905,77.00,0.00,0.00,0.00,0.00,30
2.6085,77.00,0.00,0.00,0.00,0.00,30
2.6228,77.00,0.00,0.00,0.00,0.00,30
2.6389,77.00,0.00,0.00,0.00,0.00,30
2.6685,77.00,0.00,0.00,0.00,0.00,31
2.6986,77.00,0.00,0.00,0.00,0.00,31
2.7132,77.00,0.00,0.00,0.00,0.00,31
2.7316,77.00,0.00,0.00,0.00,0.00,31
2.7457,77.00,0.00,0.00,0.00,0.00,32
2.7900,77.00,0.00,0.00,0.00,0.00,31
2.8075,77.00,0.00,0.00,0.00,0.00,32
2.8217,77.00,0.00,0.00,0.00,0.00,32
2.8372,77.00,0.00,0.00,0.00,0.00,32
2.8854,77.00,0.00,0.00,0.00,0.00,32
2.8969,77.00,0.00,0.00,0.00,0.00,33
2.9106,77.00,0.00,0.00,0.00,0.00,33
2.9306,77.00,0.00,0.00,0.00,0.00,33
2.9738,77.00,0.00,0.00,0.00,0.00,33
2.9914,77.00,0.00,0.00,0.00,0.00,33
3.0060,77.00,0.00,0.00,0.00,0.00,34
3.0200,77.00,0.00,0.00,0.00,0.00,34
3.0398,77.00,0.00,0.00,0.00,0.00,34
3.0822,77.00,0.00,0.00,0.00,0.00,34
3.0968,77.00,0.00,0.00,0.00,0.00,35
3.1106,77.00,0.00,0.00,0.00,0.00,35
3.1283,77.00,0.00,0.00,0.00,0.00,35
3.1451,77.00,0.00,0.00,0.00,0.00,35
3.1916,77.00,0.00,0.00,0.00,0.00,35
3.2060,77.00,0.00,0.00,0.00,0.00,36
3.2237,77.00,0.00,0.00,0.00,0.00,36
3.2347,77.00,0.00,0.00,0.00,0.00,36
3.2554,77.00,0.00,0.00,0.00,0.00,36
3.2970,77.00,0.00,0.00,0.00,0.00,36
3.3142,77.00,0.00,0.00,0.00,0.00,37
3.3283,77.00,0.00,0.00,0.00,0.00,37
3.3424,77.00,0.00,0.00,0.00,0.00,37
3.3933,77.00,0.00,0.00,0.00,0.00,37
3.4078,77.00,0.00,0.00,0.00,0.00,37
3.4218,77.00,0.00,0.00,0.00,0.00,38
3.4363,77.00,0.00,0.00,0.00,0.00,38
3.4504,77.00,0.00,0.00,0.00,0.00,38
3.4991,77.00,0.00,0.00,0.00,0.00,38
3.5138,77.00,0.00,0.00,0.00,0.00,38
3.5282,77.00,0.00,0.00,0.00,0.00,39
3.5465,77.00,0.00,0.00,0.00,0.00,39
3.5906,77.00,0.00,0.00,0.00,0.00,39
3.6052,77.00,0.00,0.00,0.00,0.00,39
3.6245,77.00,0.00,0.00,0.00,0.00,39
3.6373,77.00,0.00,0.00,0.00,0.00,40
3.6559,77.00,0.00,0.00,0.00,0.00,40
3.6969,77.00,0.00,0.00,0.00,0.00,40
3.7157,77.00,0.00,0.00,0.00,0.00,40
3.7271,77.00,0.00,0.00,0.00,0.00,40
3.7500,77.00,0.00,0.00,0.00,0.00,40
3.7587,77.00,0.00,0.00,0.00,0.00,41
3.8045,77.00,0.00,0.00,0.00,0.00,41
3.8225,77.00,0.00,0.00,0.00,0.00,41
3.8360,77.00,0.00,0.00,0.00,0.00,41
3.8531,77.00,0.00,0.00,0.00,0.00,41
3.8685,77.00,0.00,0.00,0.00,0.00,42
3.9129,77.00,0.00,0.00,0.00,0.00,41
3.9279,77.00,0.00,0.00,0.00,0.00,42
3.9425,77.00,0.00,0.00,0.00,0.00,42
3.9618,77.00,0.00,0.00,0.00,0.00,42
3.9744,77.00,0.00,0.00,0.00,0.00,42
4.0196,77.00,0.00,0.00,0.00,0.00,42
4.0332,77.00,0.00,0.00,0.00,0.00,42
4.0511,77.00,0.00,0.00,0.00,0.00,43
4.0677,77.00,0.00,0.00,0.00,0.00,43
4.0834,77.00,0.00,0.00,0.00,0.00,43
4.1321,77.00,0.00,0.00,0.00,0.00,43
4.1463,77.00,0.00,0.00,0.00,0.00,43
4.1566,77.00,0.00,0.00,0.00,0.00,44
4.1745,77.00,0.00,0.00,0.00,0.00,44
4.1977,77.00,0.00,0.00,0.00,0.00,44
4.2338,77.00,0.00,0.00,0.00,0.00,43
4.2509,77.00,0.00,0.00,0.00,0.00,44
4.2672,77.00,0.00,0.00,0.00,0.00,44
4.2824,77.00,0.00,0.00,0.00,0.00,44
4.2943,77.00,0.00,0.00,0.00,0.00,44
4.3444,77.00,0.00,0.00,0.00,0.00,44
4.3590,77.00,0.00,0.00,0.00,0.00,44
4.3737,77.00,0.00,0.00,0.00,0.00,45
