t,h,dx,dy,X,Y,FPS
0.0000,74.00,0.00,0.00,0.00,0.00,0
0.0352,74.00,0.00,0.00,0.00,0.00,2
0.0834,74.00,0.00,0.00,0.00,0.00,4
0.1186,74.00,0.00,0.00,0.00,0.00,7
0.1558,74.00,0.00,0.00,0.00,0.00,8
0.1795,74.00,0.00,0.00,0.00,0.00,12
0.2127,74.00,0.00,0.00,0.00,0.00,14
0.2471,74.00,0.00,0.00,0.00,0.00,15
0.2633,74.00,0.00,0.00,0.00,0.00,20
0.3290,74.00,0.00,0.00,0.00,0.00,19
0.3475,74.00,0.00,0.00,0.00,0.00,23
0.4100,74.00,0.00,0.00,0.00,0.00,22
0.4252,74.00,0.00,0.00,0.00,0.00,26
0.4429,74.00,0.00,0.00,0.00,0.00,29
0.4978,74.00,0.00,0.00,0.00,0.00,28
0.5154,74.00,0.00,0.00,0.00,0.00,31
0.5467,74.00,0.00,0.00,0.00,0.00,31
0.5992,74.00,0.00,0.00,0.00,0.00,30
0.6152,74.00,0.00,0.00,0.00,0.00,33
0.6349,74.00,0.00,0.00,0.00,0.00,35
0.6882,74.00,0.00,0.00,0.00,0.00,33
0.7034,74.00,0.00,0.00,0.00,0.00,36
0.7192,74.00,0.00,0.00,0.00,0.00,39
0.7370,74.00,0.00,0.00,0.00,0.00,41
0.7923,74.00,0.00,0.00,0.00,0.00,38
0.8079,74.00,0.00,0.00,0.00,0.00,41
0.8245,74.00,0.00,0.00,0.00,0.00,43
0.8457,74.00,0.00,0.00,0.00,0.00,43
0.8936,74.00,0.00,0.00,0.00,0.00,41
0.9085,74.00,0.00,0.00,0.00,0.00,43
0.9394,74.00,0.00,0.00,0.00,0.00,42
1.0003,74.00,0.00,0.00,0.00,0.00,40
1.0159,74.00,0.00,0.00,0.00,0.00,42
1.0460,74.00,0.00,0.00,0.00,0.00,41
1.1015,74.00,0.00,0.00,0.00,0.00,39
1.1176,74.00,0.00,0.00,0.00,0.00,41
1.1333,74.00,0.00,0.00,0.00,0.00,43
1.1494,74.00,0.00,0.00,0.00,0.00,45
1.2029,74.00,0.00,0.00,0.00,0.00,42
1.2204,74.00,0.00,0.00,0.00,0.00,44
1.2378,74.00,0.00,0.00,0.00,0.00,45
1.2590,74.00,0.00,0.00,0.00,0.00,45
1.3109,74.00,0.00,0.00,0.00,0.00,43
1.3319,74.00,0.00,0.00,0.00,0.00,43
1.3479,74.00,0.00,0.00,0.00,0.00,45
1.3658,74.00,0.00,0.00,0.00,0.00,46
1.4177,74.00,0.00,0.00,0.00,0.00,43
1.4341,74.00,0.00,0.00,0.00,0.00,45
1.4501,74.00,0.00,0.00,0.00,0.00,47
1.4663,74.00,0.00,0.00,0.00,0.00,48
1.5333,74.00,0.00,0.00,0.00,0.00,45
1.5487,74.00,0.00,0.00,0.00,0.00,47
1.5660,74.00,0.00,0.00,0.00,0.00,48
1.5847,74.00,0.00,0.00,0.00,0.00,48
1.6348,74.00,0.00,0.00,0.00,0.00,45
1.6504,74.00,0.00,0.00,0.00,0.00,47
1.6689,74.00,0.00,0.00,0.00,0.00,48
1.6859,74.00,0.00,0.00,0.00,0.00,49
1.7380,74.00,0.00,0.00,0.00,0.00,46
1.7547,74.00,0.00,0.00,0.00,0.00,47
1.7699,74.00,0.00,0.00,0.00,0.00,49
1.8370,74.00,0.00,0.00,0.00,0.00,46
1.8531,74.00,0.00,0.00,0.00,0.00,47
1.8679,74.00,0.00,0.00,0.00,0.00,49
1.8870,74.00,0.00,0.00,0.00,0.00,49
1.9365,74.00,0.00,0.00,0.00,0.00,46
1.9528,74.00,0.00,0.00,0.00,0.00,48
1.9689,74.00,0.00,0.00,0.00,0.00,49
2.0378,74.00,0.00,0.00,0.00,0.00,46
2.0532,74.00,0.00,0.00,0.00,0.00,48
2.0687,74.00,0.00,0.00,0.00,0.00,49
2.0867,74.00,0.00,0.00,0.00,0.00,50
2.1548,74.00,0.00,0.00,0.00,0.00,46
